Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Exchange
RTX,RTX Corporation,71.34,-0.87536474,-0.63,Strong Sell,6791279,484489843.86,103836435815,18.91504932,3.7995,182000,Electronic Technology,NYSE
ADM,Archer-Daniels-Midland Company,74.2,-1.61760806,-1.22,Strong Sell,2518755,186891621,39778738830,9.90416188,7.5289,42001,Process Industries,NYSE
JCI,Johnson Controls International plc,52.38,-1.55985717,-0.83,Strong Sell,3968688,207879877.44,35635165907,17.49791214,3.0058,102000,Producer Manufacturing,NYSE
ED,"Consolidated Edison, Inc.",81.62,-4.57149538,-3.91,Strong Sell,2440424,199187406.88000005,28152663872,11.74033745,6.9781,14319,Utilities,NYSE
DLTR,"Dollar Tree, Inc.",104.66,-1.68154063,-1.79,Sell,1718350,179842511,23025778914,19.05611595,5.5092,207500,Retail Trade,NASDAQ
ALB,Albemarle Corporation,162.41,-4.48717949,-7.63,Strong Sell,1949943,316690242.63,19058289547,4.88520182,33.4308,7400,Process Industries,NYSE
SWK,"Stanley Black & Decker, Inc.",80.72,-3.42187126,-2.86,Strong Sell,1840469,148562657.68,12368729137,15.42577588,5.5883,54200,Consumer Durables,NYSE
DOX,Amdocs Limited,84,-0.57995029,-0.49,Strong Sell,615432,51696288,10148594788,18.01299509,4.696,30288,Technology Services,NASDAQ
DAR,Darling Ingredients Inc.,50.76,-2.75862069,-1.44,Strong Sell,1733466,87990734.16,8095767402.999999,10.52937272,4.908,14600,Consumer Non-Durables,NYSE
KNX,Knight-Swift Transportation Holdings Inc.,49.08,-2.1335992,-1.07,Strong Sell,2061941,101200064.28,7916310127,15.53115408,3.1789,28500,Transportation,NYSE
MIDD,The Middleby Corporation,126.42,-1.234375,-1.58,Strong Sell,393096,49695196.32,6776494619,15.13540694,8.4448,11268,Producer Manufacturing,NASDAQ
IDA,"IDACORP, Inc.",89.52,-4.41003737,-4.13,Strong Sell,572926,51288335.52,4531035657,16.62920513,5.3899,2070,Utilities,NYSE
ALE,"Allete, Inc.",50.4,-4.54545455,-2.4,Strong Sell,562832,28366732.8,2892867110.0000005,14.79785079,3.4085,1494,Utilities,NYSE
DY,"Dycom Industries, Inc.",86.63,-2.66292135,-2.37,Strong Sell,232418,20134371.34,2541153251,13.54821557,6.4784,15410,Industrial Services,NYSE
SXT,Sensient Technologies Corporation,56.57,-3.26607387,-1.91,Strong Sell,330669,18705945.33,2390076876,17.98899736,3.1668,4094,Consumer Non-Durables,NYSE
LGIH,"LGI Homes, Inc.",99.79,0.30153784,0.3,Sell,266982,26642133.78,2349659502,11.4822571,8.7596,952,Consumer Durables,NASDAQ
NMIH,NMI Holdings Inc,26.47,-2.2886674,-0.62,Sell,2326779,61589840.13,2177971302,7.37305368,3.6409,242,Finance,NASDAQ
AMRK,"A-Mark Precious Metals, Inc.",28.42,-3.1026253,-0.91,Strong Sell,326951,9291947.42,663442766,4.476507,6.6804,429,Finance,NASDAQ
BH,Biglari Holdings Inc.,166.01,0.0060241,0.01,Sell,1118,185599.18,512186972.99999994,4.73101793,35.0897,2559,Consumer Services,NYSE
CLFD,"Clearfield, Inc.",28.78,0.41870202,0.12,Sell,140161,4033833.58,439234856,8.8843613,3.2596,1132,Electronic Technology,NASDAQ
LIZI,LIZHI INC.,3.8,-1.55440415,-0.06,Sell,13047,49578.6,19899091,1.22866011,3.1013,699,Technology Services,NASDAQ
